Main metric,Correlation metric,title,copy,how_it_works
HRV(t),Training Intensity(t-1),Recover better after hard training for higher next-day HRV,"On days when your training intensity reached [X], your next-day HRV tended to drop below [Y] ms.","This suggests that harder sessions are currently creating more recovery stress, making post-training recovery especially important for protecting next-day HRV."
HRV(t),Disruptions(t),Reduce sleep disruptions to protect next-day HRV,"On nights when your sleep disruptions rose above [X] per hour, your next-day HRV tended to drop below [Y] ms.",Disrupted sleep limits overnight recovery and makes it harder for HRV to rebound by morning.
HRV(t),DeepSleep(t),Improve Deep Sleep to support next-day HRV,"On nights when your Deep Sleep dropped below [X] min, your next-day HRV tended to fall below [Y] ms.","Deep Sleep is one of the main windows where your body restores autonomic balance overnight, so when Deep Sleep is lower, HRV has less chance to recover by the next morning."
HRV(t),REM(t),Improve REM Sleep to support next-day HRV,"On nights when your REM Sleep dropped below [X] min, your next-day HRV tended to fall below [Y] ms.","REM Sleep is one of the main windows where your body restores autonomic balance overnight, so when REM Sleep is lower, HRV has less chance to recover by the next morning."
HRV rolling mean (7-day),Training Intensity rolling mean (7-day),Improve recovery quality to absorb trainings more effectively,"When your 7-day average training intensity stayed above [X], your 7-day average HRV tended to remain below [Y] ms.","This suggests your body is not fully absorbing repeated training stress, making recovery quality especially important for maintaining HRV over time."
HRV(t),AwakePhase(t),Reduce overnight awake time to support next-day HRV,"On nights when your awake time rose above [X] minutes, your next-day HRV tended to drop below [Y] ms.","Spending more time awake during the night means less total sleep, poorer overnight recovery, and lower HRV by morning.
"
HRV(t),HRV(t-1),Reduce HRV carryover for a full return to baseline by morning,"When your HRV dropped below [X] ms, it often remained constrained the next morning instead of fully rebounding toward baseline.",This suggests your recovery speed is currently too slow for HRV to fully return to baseline by the next morning.
RHR(t),Training Intensity(t-1),Recover better after hard training for higher next-day RHR,"On days when your training intensity reached [X], your next-day RHR tended to rise above [Y] bpm.","This suggests that harder sessions are currently creating more recovery stress, making post-training recovery especially important for protecting next-day RHR."
RHR(t),Disruptions(t),Reduce sleep disruptions to protect next-day RHR,"On nights when your sleep disruptions rose above [X] per hour, your next-day RHR tended to rise above [Y] bpm.",Disrupted sleep limits overnight recovery and makes it harder for RHR to rebound by morning.
RHR(t),DeepSleep(t),Improve Deep Sleep to support next-day RHR,"On nights when your Deep Sleep dropped below [X] min, your next-day RHR tended to rise above [Y] bpm.","Deep Sleep is one of the main windows where your body lowers overnight stress load, so when Deep Sleep is lower, RHR has less chance to fully come down by the next morning."
